,PC1,PC2,group,tissue,stage,type,sam,idxOrder
RET_11W_emb2_rep1_1,-28.46545541,15.85971387,11,RET,9W,RGC,RET_11W_emb2_rep1_1,0
RET_11W_emb2_rep1_2,-26.30028087,14.747009699999998,11,RET,9W,RGC,RET_11W_emb2_rep1_2,1
RET_11W_emb2_rep1_3,-25.75274529,-0.23946187,1,RET,9W,RGC,RET_11W_emb2_rep1_3,2
RET_11W_emb2_rep1_4,-26.48778183,14.80104806,11,RET,9W,RGC,RET_11W_emb2_rep1_4,3
RET_11W_emb2_rep1_5,-27.02975246,15.46679777,11,RET,9W,RGC,RET_11W_emb2_rep1_5,4
RET_11W_emb2_rep1_6,8.594896177,14.51411121,8,RET,9W,Photoreceptor,RET_11W_emb2_rep1_6,5
RET_11W_emb2_rep1_7,-24.40792661,13.89560917,11,RET,9W,RGC,RET_11W_emb2_rep1_7,6
RET_11W_emb2_rep1_8,-31.05415158,16.54595732,11,RET,9W,RGC,RET_11W_emb2_rep1_8,7
RET_11W_emb2_rep1_9,0.727972992,16.18530982,3,RET,9W,Horizontal,RET_11W_emb2_rep1_9,8
RET_11W_emb2_rep1_10,-9.462993653,1.71026682,4,RET,9W,RGC,RET_11W_emb2_rep1_10,9
RET_11W_emb2_rep1_11,0.7470025140000001,17.43359358,3,RET,9W,Horizontal,RET_11W_emb2_rep1_11,10
RET_11W_emb2_rep1_12,-29.68691958,-11.37666791,18,RET,9W,Microglia,RET_11W_emb2_rep1_12,11
RET_11W_emb2_rep1_13,-26.69437657,15.53864162,11,RET,9W,RGC,RET_11W_emb2_rep1_13,12
RET_11W_emb2_rep1_14,1.6856277069999999,16.64567036,3,RET,9W,Amacrine,RET_11W_emb2_rep1_14,13
RET_11W_emb2_rep1_15,-2.785268645,0.7582510990000001,9,RET,9W,RPC,RET_11W_emb2_rep1_15,14
RET_11W_emb2_rep1_16,-8.819097962999999,2.209238701,4,RET,9W,RGC,RET_11W_emb2_rep1_16,15
RET_11W_emb2_rep1_17,-22.88562351,1.910799095,1,RET,9W,RGC,RET_11W_emb2_rep1_17,16
RET_11W_emb2_rep1_18,-28.78467219,17.940458800000002,11,RET,9W,RGC,RET_11W_emb2_rep1_18,17
RET_11W_emb2_rep1_19,-8.967821553,2.864484472,4,RET,9W,RGC,RET_11W_emb2_rep1_19,18
RET_11W_emb2_rep1_20,-28.64150228,16.40857762,11,RET,9W,RGC,RET_11W_emb2_rep1_20,19
RET_11W_emb2_rep1_21,-27.93980647,14.98667925,11,RET,9W,RGC,RET_11W_emb2_rep1_21,20
RET_11W_emb2_rep1_22,0.799701338,13.699781699999997,3,RET,9W,Horizontal,RET_11W_emb2_rep1_22,21
RET_11W_emb2_rep1_24,1.646651747,14.89162632,3,RET,9W,Amacrine,RET_11W_emb2_rep1_24,22
RET_11W_emb2_rep1_25,-29.98004333,13.13577385,11,RET,9W,RGC,RET_11W_emb2_rep1_25,23
RET_11W_emb2_rep1_26,-25.62652929,11.45887957,1,RET,9W,RGC,RET_11W_emb2_rep1_26,24
RET_11W_emb2_rep1_27,-28.30585689,17.17601222,11,RET,9W,RGC,RET_11W_emb2_rep1_27,25
RET_11W_emb2_rep1_28,-27.55277542,15.7714196,11,RET,9W,RGC,RET_11W_emb2_rep1_28,26
RET_11W_emb2_rep1_29,-31.43922396,17.09062086,11,RET,9W,RGC,RET_11W_emb2_rep1_29,27
RET_11W_emb2_rep1_30,-27.89190431,15.66879047,11,RET,9W,RGC,RET_11W_emb2_rep1_30,28
RET_11W_emb2_rep1_31,-24.23211946,15.85959156,11,RET,9W,RGC,RET_11W_emb2_rep1_31,29
RET_11W_emb2_rep1_32,-28.43776219,16.04947384,11,RET,9W,RGC,RET_11W_emb2_rep1_32,30
RET_11W_emb2_rep1_33,-28.26581623,15.84849914,11,RET,9W,RGC,RET_11W_emb2_rep1_33,31
RET_11W_emb2_rep1_35,-29.57576244,-11.09916778,18,RET,9W,Microglia,RET_11W_emb2_rep1_35,32
RET_11W_emb2_rep1_36,6.224406534,3.8878005489999996,9,RET,9W,RPC,RET_11W_emb2_rep1_36,33
RET_11W_emb2_rep1_37,-27.12738631,15.64645487,11,RET,9W,RGC,RET_11W_emb2_rep1_37,34
RET_11W_emb2_rep1_38,3.036095815,18.067565600000002,3,RET,9W,Amacrine,RET_11W_emb2_rep1_38,35
RET_11W_emb2_rep1_39,-2.66523761,0.9503454240000001,4,RET,9W,RGC,RET_11W_emb2_rep1_39,36
RET_11W_emb2_rep1_40,-27.95554169,15.7894301,11,RET,9W,RGC,RET_11W_emb2_rep1_40,37
RET_11W_emb2_rep1_41,3.576316209,-2.985133293,2,RET,9W,RPC,RET_11W_emb2_rep1_41,38
RET_11W_emb2_rep1_42,2.055009425,14.26052224,3,RET,9W,Amacrine,RET_11W_emb2_rep1_42,39
RET_11W_emb2_rep1_43,1.3643482130000002,15.55910402,3,RET,9W,Amacrine,RET_11W_emb2_rep1_43,40
RET_11W_emb2_rep1_44,0.488728471,16.74288609,3,RET,9W,Horizontal,RET_11W_emb2_rep1_44,41
RET_11W_emb2_rep1_45,-0.620121127,17.03929691,3,RET,9W,Horizontal,RET_11W_emb2_rep1_45,42
RET_11W_emb2_rep1_46,-29.1822864,16.01459862,11,RET,9W,RGC,RET_11W_emb2_rep1_46,43
RET_11W_emb2_rep1_47,-22.656992600000002,14.46763467,11,RET,9W,RGC,RET_11W_emb2_rep1_47,44
RET_11W_emb2_rep1_48,-8.756444574,17.84543124,3,RET,9W,Amacrine,RET_11W_emb2_rep1_48,45
RET_11W_emb2_rep1_49,-7.3512333729999995,2.570728979,4,RET,9W,RGC,RET_11W_emb2_rep1_49,46
